data;data (Excel);dia (0 = domingo);0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
2019-02-01;42034.91666666667;5;31,3;38,7;37,4;32,8;24,0;25,7;29,4;25,5;24,2;27,0;21,7;19,4;23,2;24,3;32,5;27,5;24,4;24,8;18,3;20,4;26,0;25,5;31,6;27,7
2019-02-02;42035.91666666667;6;33,1;33,4;38,9;39,7;39,1;35,7;36,7;23,9;30,6;21,8;26,5;20,2;25,6;22,7;23,6;25,5;25,8;25,4;20,4;21,0;35,5;37,9;29,0;42,0
2019-02-03;42036.91666666667;0;33,2;35,3;32,0;34,7;34,1;31,0;34,6;37,6;36,5;27,7;31,1;19,4;26,7;24,8;33,4;20,5;38,9;19,8;24,9;27,7;38,7;25,9;26,4;33,3
2019-02-04;42037.91666666667;1;28,9;38,9;31,9;35,5;25,8;27,7;24,0;29,7;25,4;20,5;26,2;23,2;23,6;31,9;25,7;24,5;28,7;21,2;34,1;24,6;21,2;30,5;22,3;29,9
2019-02-05;42038.91666666667;2;30,8;37,6;44,8;39,2;33,8;36,4;20,9;18,3;27,6;37,3;23,9;27,5;24,6;18,8;25,3;19,7;22,5;25,3;21,0;18,9;32,0;20,1;30,4;35,7
2019-02-06;42039.91666666667;3;37,0;42,3;32,4;41,7;35,5;35,8;26,4;23,2;24,7;19,5;21,3;22,2;;20,7;21,9;24,9;25,0;18,1;19,3;33,0;25,3;32,5;29,4;23,4
2019-02-07;42040.91666666667;4;31,9;46,0;39,4;36,0;33,4;31,4;28,4;23,3;20,3;31,1;24,3;25,1;22,6;35,4;20,7;24,8;19,2;23,5;12,6;19,6;38,6;22,5;22,0;28,7
2019-02-08;42041.91666666667;5;34,2;40,0;35,6;37,6;34,0;34,5;29,7;25,9;21,0;24,6;23,2;19,4;31,3;21,7;30,0;33,3;24,8;24,3;23,0;27,3;31,0;23,2;17,1;25,6
2019-02-09;42042.91666666667;6;30,3;41,0;36,3;36,0;32,8;30,7;37,4;33,0;26,8;25,4;27,2;25,8;14,9;22,5;28,7;28,7;21,6;22,0;25,3;27,1;22,2;21,4;25,4;37,5
2019-02-10;42043.91666666667;0;31,5;43,0;31,6;33,1;32,3;29,0;30,3;29,9;27,4;30,4;29,2;25,9;26,3;21,0;26,8;29,6;27,5;25,7;22,4;21,9;38,6;32,2;29,6;31,9
2019-02-11;42044.91666666667;1;28,1;38,1;37,4;40,0;36,8;34,9;28,5;25,7;17,8;34,2;24,6;31,9;20,8;23,1;23,8;29,0;27,8;25,1;16,5;14,3;24,5;28,2;24,0;29,5
2019-02-12;42045.91666666667;2;31,6;28,1;43,2;38,7;32,4;30,7;29,7;24,3;19,7;29,0;19,3;22,3;22,4;24,5;24,6;16,1;25,8;27,5;24,4;26,9;25,2;20,1;26,5;34,5
2019-02-13;42046.91666666667;3;31,2;38,8;41,7;40,4;35,7;30,0;27,3;19,9;17,1;25,9;25,3;27,7;25,7;14,6;24,0;19,3;16,9;29,3;15,8;32,0;24,4;27,6;26,8;32,5
2019-02-14;42047.91666666667;4;35,3;29,1;41,1;43,6;37,0;36,9;30,0;19,0;26,0;23,9;21,4;19,6;31,8;25,0;24,1;25,0;24,8;27,3;16,8;24,4;41,8;24,8;25,9;27,2
2019-02-15;42048.91666666667;5;36,5;34,6;37,3;42,8;33,7;36,2;27,5;10,6;20,4;26,8;24,0;23,9;19,6;22,6;17,9;15,6;23,2;22,0;17,1;15,7;27,5;18,6;23,5;25,1
2019-02-16;42049.91666666667;6;24,5;35,3;29,0;39,9;39,5;31,5;28,8;23,9;23,2;28,1;21,0;25,2;26,0;15,9;27,0;21,2;27,1;14,8;23,6;18,4;35,5;30,4;19,8;30,6
2019-02-17;42050.91666666667;0;34,6;33,4;36,4;38,0;35,0;29,4;27,4;23,1;36,9;30,4;25,4;24,1;27,3;34,9;26,6;20,2;27,2;29,3;21,5;24,1;24,9;23,0;25,8;29,2
2019-02-18;42051.875;1;33,9;41,6;40,5;34,8;33,8;30,4;28,5;23,1;17,4;20,6;18,6;27,6;20,5;35,1;22,0;30,0;22,9;20,2;15,5;29,1;;24,7;28,9;27,1
2019-02-19;42052.875;2;32,9;38,3;35,7;37,4;36,3;29,4;21,6;21,1;21,3;24,0;17,3;23,5;22,4;15,1;28,5;22,8;17,2;16,8;14,6;15,8;18,6;23,0;29,1;33,1
2019-02-20;42053.875;3;31,4;41,7;39,8;35,8;33,9;27,5;32,3;13,4;21,9;18,4;24,2;25,5;20,3;29,8;20,4;29,8;20,6;18,8;16,1;19,5;23,1;29,0;25,2;29,0
2019-02-21;42054.875;4;30,1;31,1;37,1;37,5;25,9;28,0;23,0;20,8;24,3;26,2;33,9;23,3;35,9;22,8;20,4;23,4;23,9;15,0;24,4;13,7;21,8;23,8;27,4;25,1
2019-02-22;42055.875;5;35,0;39,2;43,1;43,1;37,8;33,7;30,5;20,2;10,4;22,6;23,9;26,6;17,8;24,7;21,3;24,7;23,2;30,6;;11,5;21,9;30,1;21,0;31,0
2019-02-23;42056.875;6;34,5;39,7;40,3;42,0;42,9;31,0;36,3;27,7;27,2;18,3;28,1;15,9;24,1;;;23,1;39,8;;24,5;;;;18,0;
2019-02-24;42057.875;0;31,1;30,1;36,0;37,0;42,8;31,2;38,5;34,0;22,9;33,3;20,0;30,6;32,6;26,9;29,1;26,2;32,2;23,0;26,8;22,0;21,1;18,4;25,9;27,8
2019-02-25;42058.875;1;40,4;28,1;41,8;40,0;33,9;28,4;26,9;23,3;14,1;23,7;23,2;23,6;16,6;25,4;18,8;33,2;22,6;22,0;19,0;20,5;27,0;27,4;21,1;22,0
2019-02-26;42059.875;2;31,3;38,7;30,4;38,4;31,3;35,7;22,6;10,3;21,9;20,2;15,8;19,0;33,6;26,6;26,4;26,9;20,6;10,8;20,0;19,3;22,5;23,6;25,3;26,4
2019-02-27;42060.875;3;36,8;37,3;34,7;33,3;31,0;32,2;34,2;9,1;15,7;16,0;22,4;24,6;26,2;22,0;18,9;24,7;20,9;24,6;23,0;22,5;33,1;;25,9;28,5
