data;data (Excel);dia (0 = domingo);0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
2019-02-01;42034.91666666667;5;13,9;;;;18,1;27,0;12,0;10,3;8,8;14,3;9,5;17,1;12,5;13,1;13,6;18,1;17,2;16,1;13,9;14,7;14,4;18,2;22,3;18,1
2019-02-02;42035.91666666667;6;15,1;;;;14,4;17,2;18,3;13,8;21,4;10,4;11,1;15,0;12,3;32,1;13,1;13,4;11,0;28,2;20,5;21,5;14,4;10,8;17,3;21,4
2019-02-03;42036.91666666667;0;15,8;36,7;;;;17,3;20,3;25,3;21,3;12,7;16,5;13,3;13,5;14,5;20,2;13,7;8,7;12,1;13,2;15,3;12,1;15,0;14,7;20,5
2019-02-04;42037.91666666667;1;17,2;;;;26,6;17,0;8,8;8,0;8,8;6,8;10,6;17,5;12,2;18,6;11,7;17,4;15,3;16,9;11,3;12,7;;16,9;17,3;26,5
2019-02-05;42038.91666666667;2;17,4;;;;28,8;22,5;15,0;8,0;5,4;9,1;9,5;9,4;20,4;11,8;17,0;11,6;14,1;11,9;9,9;16,3;26,6;21,2;12,4;18,4
2019-02-06;42039.91666666667;3;23,5;;;;18,3;18,8;8,4;5,9;5,9;7,1;13,2;4,5;8,0;9,2;14,2;20,5;9,7;18,1;11,4;20,5;19,8;16,0;20,6;16,8
2019-02-07;42040.91666666667;4;18,5;;;;18,8;14,7;7,5;4,7;3,8;10,0;12,1;9,4;10,1;8,2;13,3;16,3;9,0;17,3;13,0;13,8;16,8;14,4;13,8;23,6
2019-02-08;42041.91666666667;5;15,4;;;;14,4;16,3;8,3;5,7;5,6;9,7;13,2;11,1;6,3;11,5;17,7;13,9;16,1;11,0;6,2;14,3;20,6;17,2;26,6;18,2
2019-02-09;42042.91666666667;6;16,7;;;;15,7;17,5;18,0;7,1;12,4;16,9;8,3;9,6;12,4;9,1;9,1;13,2;14,4;11,9;12,6;17,9;13,8;23,2;18,5;26,6
2019-02-10;42043.91666666667;0;22,2;28,2;;;;27,8;14,3;20,0;16,0;16,9;14,7;14,7;14,5;16,2;19,0;17,3;15,9;11,1;16,3;18,2;;15,4;23,1;17,4
2019-02-11;42044.91666666667;1;14,4;;;;15,2;15,3;6,7;5,2;6,8;16,2;14,0;8,3;20,1;8,1;20,2;11,8;;5,9;19,0;9,5;19,6;16,9;17,5;21,9
2019-02-12;42045.91666666667;2;20,4;;;;19,6;18,9;8,4;8,1;5,7;8,5;9,1;12,3;11,5;13,5;18,3;13,0;15,1;13,5;11,7;13,4;15,4;13,6;14,8;18,2
2019-02-13;42046.91666666667;3;19,0;;;;15,8;19,8;9,1;10,6;9,7;14,6;9,1;9,6;10,7;11,3;12,1;16,5;11,1;11,3;11,5;8,8;14,3;21,6;17,8;20,9
2019-02-14;42047.91666666667;4;19,9;;;;21,8;17,2;11,3;6,9;5,3;5,9;8,8;9,4;8,1;8,7;12,1;11,8;15,8;12,3;10,4;13,5;19,5;16,1;14,1;22,6
2019-02-15;42048.91666666667;5;20,8;;;;28,9;24,1;15,1;6,1;6,2;7,9;12,6;7,5;12,9;10,6;7,8;11,6;17,9;12,6;10,2;6,0;15,1;16,6;19,3;26,6
2019-02-16;42049.91666666667;6;19,9;;;;22,7;20,7;18,4;14,8;6,8;7,0;9,4;8,6;7,9;7,1;11,3;18,7;19,4;14,4;26,6;9,6;23,5;11,1;23,9;28,2
2019-02-17;42050.91666666667;0;14,4;;;;28,8;18,5;23,3;17,5;21,6;16,2;14,1;;12,6;12,9;18,6;14,7;11,8;13,7;12,0;17,3;14,9;25,9;25,8;18,8
2019-02-18;42051.875;1;28,1;;;;26,9;19,6;6,0;6,6;5,3;7,6;5,1;20,6;19,2;19,2;9,1;19,0;11,6;6,2;14,4;10,3;17,2;20,3;20,9;29,3
2019-02-19;42052.875;2;12,1;;;;26,6;13,9;12,6;6,2;4,9;5,6;10,3;10,4;10,6;8,5;15,3;17,3;15,0;12,8;6,7;20,5;14,9;20,7;16,2;23,3
2019-02-20;42053.875;3;33,8;;;;16,9;12,9;14,2;5,3;9,0;10,0;11,5;36,5;15,8;12,8;12,8;11,3;15,2;15,1;11,6;10,6;15,4;14,4;20,7;20,0
2019-02-21;42054.875;4;20,8;;;;14,5;21,2;;6,8;6,3;11,3;9,7;9,5;7,8;9,7;10,6;20,3;8,0;13,9;18,5;8,5;25,6;27,2;19,1;20,9
2019-02-22;42055.875;5;16,7;;;;14,7;25,2;11,6;8,9;6,8;8,1;9,1;7,1;5,7;8,7;9,8;13,6;14,7;12,1;20,9;14,1;15,1;10,5;22,2;24,1
2019-02-23;42056.875;6;16,8;;;;17,0;24,0;20,6;19,2;13,8;11,7;12,2;17,1;12,0;7,7;;8,0;10,5;;18,3;;;;12,9;
2019-02-24;42057.875;0;22,8;25,2;;;15,9;13,8;15,4;19,6;17,9;17,1;;21,0;10,6;12,1;16,5;12,4;13,3;14,7;10,8;14,1;26,2;14,8;16,6;25,1
2019-02-25;42058.875;1;11,9;;;;15,9;14,4;9,8;10,3;7,1;16,7;8,7;10,3;9,8;10,9;20,5;12,9;13,8;12,9;4,6;12,5;22,2;15,9;14,9;17,2
2019-02-26;42059.875;2;18,1;;;;26,6;19,5;7,9;7,6;5,9;8,9;11,3;11,5;15,9;10,1;11,2;13,8;15,5;11,6;12,4;18,0;10,8;11,8;18,8;17,8
2019-02-27;42060.875;3;18,4;;;;26,6;13,3;7,8;7,2;8,6;9,6;7,8;11,6;10,3;13,1;13,8;18,7;21,2;13,5;9,6;11,0;19,7;;11,4;16,1
