data;data (Excel);dia (0 = domingo);0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
2019-02-01;42034.91666666667;5;24,7;35,0;39,9;29,5;40,8;24,4;18,5;14,1;10,8;16,8;19,3;15,9;15,0;21,2;17,5;16,2;15,0;23,0;13,8;21,0;22,4;21,5;19,9;26,8
2019-02-02;42035.91666666667;6;29,9;42,5;26,1;39,0;39,7;29,1;39,0;21,2;20,5;15,0;24,6;16,1;18,4;14,3;19,8;17,8;19,6;18,5;26,2;17,9;18,2;23,4;25,9;29,3
2019-02-03;42036.91666666667;0;26,2;36,0;36,3;36,2;40,3;27,4;23,5;23,1;26,2;22,3;19,6;24,2;18,2;26,2;20,1;19,2;21,4;24,6;18,9;16,6;25,3;19,6;24,8;26,1
2019-02-04;42037.91666666667;1;28,7;32,5;34,5;36,8;27,8;20,8;17,1;13,9;17,5;9,9;18,7;25,5;16,3;15,7;17,9;21,9;12,8;23,2;17,9;19,1;25,9;26,0;26,1;32,3
2019-02-05;42038.91666666667;2;29,2;38,0;36,2;43,1;37,3;29,2;13,9;10,3;11,9;14,5;18,2;17,4;16,9;16,6;14,1;19,5;21,5;17,0;21,4;13,3;18,0;22,6;21,3;34,4
2019-02-06;42039.91666666667;3;34,0;34,8;35,7;37,8;39,2;27,2;16,2;15,0;10,6;15,9;5,6;19,4;14,4;12,6;16,5;22,1;15,9;12,9;18,2;22,7;21,9;32,2;25,3;23,6
2019-02-07;42040.91666666667;4;36,4;37,8;38,9;41,2;35,8;23,1;21,4;13,9;10,5;19,1;14,8;18,7;18,7;15,7;22,5;19,4;15,7;14,8;19,1;15,5;20,9;29,5;24,3;30,3
2019-02-08;42041.91666666667;5;32,1;35,1;33,9;44,0;35,8;31,9;15,5;12,8;10,9;14,1;15,4;19,5;14,5;15,8;17,3;19,6;20,5;18,4;20,3;29,3;16,4;23,9;20,1;26,6
2019-02-09;42042.91666666667;6;29,3;39,3;37,4;26,7;41,6;30,8;24,2;21,2;22,9;15,7;22,0;19,6;11,4;15,7;17,7;24,9;17,9;19,8;19,3;23,5;23,4;20,0;15,0;35,9
2019-02-10;42043.91666666667;0;35,5;31,7;35,0;31,2;39,6;28,5;37,5;26,6;19,3;17,7;20,4;17,6;19,8;18,0;22,9;21,8;14,5;19,0;20,0;18,4;12,4;20,9;26,6;29,9
2019-02-11;42044.91666666667;1;29,5;37,7;35,5;39,4;33,8;36,2;16,6;15,5;8,7;19,0;15,5;18,9;18,0;17,5;18,1;14,0;22,8;17,8;17,0;14,3;19,2;23,4;24,0;20,7
2019-02-12;42045.91666666667;2;33,4;27,9;36,7;22,6;33,2;28,2;17,0;11,1;10,1;17,3;20,6;19,0;20,5;17,9;18,7;16,6;13,1;15,3;26,5;16,2;15,9;17,1;19,1;27,1
2019-02-13;42046.91666666667;3;28,9;31,4;42,4;36,3;33,8;25,7;20,7;10,6;11,8;12,3;14,7;15,9;15,7;14,5;18,7;16,4;17,9;16,7;10,4;19,6;20,7;20,1;16,4;22,7
2019-02-14;42047.91666666667;4;29,2;33,2;36,0;41,7;39,9;25,2;9,5;11,3;9,6;14,3;13,1;19,8;15,8;19,4;26,4;17,3;16,5;28,7;16,3;21,8;12,8;15,4;19,9;25,3
2019-02-15;42048.91666666667;5;29,9;29,3;35,3;36,3;41,3;27,7;16,6;22,3;10,5;17,1;12,7;16,5;15,3;15,7;12,9;16,8;12,3;9,2;11,3;11,9;17,2;19,1;17,9;20,3
2019-02-16;42049.91666666667;6;30,3;31,3;29,0;40,5;39,8;24,5;22,2;22,5;19,4;13,9;16,6;15,7;15,6;12,7;17,0;16,5;20,8;14,8;15,7;18,4;15,4;16,4;24,2;27,7
2019-02-17;42050.91666666667;0;36,1;35,9;35,3;29,8;34,6;31,9;24,2;21,8;23,2;20,5;22,1;25,8;19,0;26,2;25,7;20,2;23,6;24,2;25,5;20,8;17,8;22,7;27,2;32,2
2019-02-18;42051.875;1;29,1;45,1;29,7;32,3;37,7;28,2;11,3;11,6;12,0;13,6;15,3;24,5;18,7;15,6;15,6;16,8;12,8;16,9;9,7;17,4;;20,8;20,5;23,4
2019-02-19;42052.875;2;32,5;34,8;37,5;43,6;38,7;26,6;14,8;15,5;13,9;18,1;11,3;15,0;16,6;14,7;13,5;10,8;13,9;10,3;11,9;15,8;18,6;20,7;19,4;33,4
2019-02-20;42053.875;3;26,2;39,5;42,2;37,0;28,4;31,0;15,9;10,3;12,0;11,5;16,1;20,1;30,2;16,2;15,9;13,4;18,0;18,1;15,1;17,1;15,0;17,8;20,8;27,3
2019-02-21;42054.875;4;24,4;30,7;32,0;37,3;31,0;33,4;15,3;11,6;15,0;13,9;20,3;22,7;24,7;16,6;18,0;16,7;15,2;11,7;14,5;12,5;17,4;15,5;26,5;22,8
2019-02-22;42055.875;5;33,1;35,4;38,8;39,9;32,6;26,6;14,4;12,1;8,2;10,4;13,6;19,2;22,3;17,6;19,5;17,2;17,0;12,0;;9,8;15,1;27,5;16,7;26,3
