data;data (Excel);dia (0 = domingo);0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
2019-02-01;42034.91666666667;5;24,9;30,6;;;25,7;16,8;12,7;7,2;8,2;9,0;7,0;10,4;8,3;7,6;12,7;12,7;9,6;8,9;8,9;9,4;13,6;11,3;18,3;23,0
2019-02-02;42035.91666666667;6;22,2;25,5;;;28,5;25,1;21,3;16,6;13,7;12,1;12,1;12,0;13,2;12,1;12,1;11,1;13,7;10,2;14,3;15,2;11,9;15,0;19,6;23,6
2019-02-03;42036.91666666667;0;29,3;19,6;25,4;;29,3;28,4;25,8;23,2;23,6;20,4;14,7;14,8;7,0;5,9;15,2;17,1;16,1;14,2;13,7;14,5;16,8;15,6;18,1;25,3
2019-02-04;42037.91666666667;1;23,8;30,9;;;23,4;16,9;10,3;10,3;10,2;10,2;12,3;12,3;9,0;10,6;11,3;13,6;11,6;8,4;9,2;14,5;14,9;19,7;17,8;21,9
2019-02-05;42038.91666666667;2;26,8;26,0;;;25,5;17,6;10,8;9,1;13,6;10,7;10,4;10,2;6,8;9,6;12,7;10,3;9,7;8,0;10,2;10,0;13,2;15,5;16,8;18,4
2019-02-06;42039.91666666667;3;24,9;25,3;;;23,4;20,4;10,8;8,3;10,6;6,9;9,0;12,4;9,1;9,0;12,8;12,9;11,7;9,4;7,6;11,2;15,7;14,5;17,5;17,3
2019-02-07;42040.91666666667;4;23,1;21,3;;;21,7;16,0;11,0;10,5;10,5;12,3;13,3;8,8;9,4;7,0;12,7;10,9;11,1;9,0;10,4;10,7;15,9;14,3;18,2;21,9
2019-02-08;42041.91666666667;5;24,1;20,8;;;21,5;16,4;10,0;6,8;9,2;10,3;10,4;8,5;7,3;7,1;10,8;10,6;7,5;7,3;8,4;11,9;10,2;13,0;15,5;22,3
2019-02-09;42042.91666666667;6;26,8;25,4;;;28,6;23,3;21,9;20,2;14,9;11,4;10,5;10,2;11,2;11,7;13,0;11,1;13,3;15,8;13,0;13,9;10,8;15,1;17,5;18,8
2019-02-10;42043.91666666667;0;22,5;19,8;;;23,8;21,8;22,8;19,2;21,5;15,4;13,0;15,6;10,5;14,8;16,2;18,5;16,0;17,1;15,5;13,6;15,3;16,9;23,2;22,7
2019-02-11;42044.91666666667;1;29,4;28,7;;;22,5;17,2;9,6;9,1;9,2;11,3;13,6;10,9;10,2;9,4;14,2;12,8;8,3;8,8;8,4;11,3;17,1;18,4;20,2;16,5
2019-02-12;42045.91666666667;2;32,2;29,1;;;30,7;17,9;10,6;8,8;10,3;10,9;12,0;14,5;10,5;10,2;13,3;15,7;10,6;9,0;8,3;11,2;13,6;16,9;23,8;16,4
2019-02-13;42046.91666666667;3;26,1;32,9;;;27,4;16,7;11,3;8,2;10,4;12,2;12,7;11,4;10,0;8,5;12,5;14,7;9,4;7,9;9,3;11,5;14,2;17,4;20,0;20,8
2019-02-14;42047.91666666667;4;24,4;25,0;;;22,9;15,7;11,8;10,0;11,9;12,8;13,6;12,4;12,0;10,7;12,1;14,1;9,9;9,3;9,7;13,6;13,4;19,5;17,6;17,3
2019-02-15;42048.91666666667;5;25,4;32,3;;;23,9;16,6;10,9;7,6;10,8;13,3;10,7;10,5;8,3;6,9;9,4;11,5;7,9;7,8;10,6;10,3;12,9;11,0;15,6;16,8
2019-02-16;42049.91666666667;6;25,5;21,4;;;35,6;20,4;17,7;14,4;14,5;9,3;11,9;10,7;9,4;11,8;9,2;13,1;13,9;11,3;11,4;10,9;11,8;14,2;17,2;18,7
2019-02-17;42050.91666666667;0;20,7;;;;26,3;23,2;26,4;19,9;17,6;17,8;15,4;14,0;13,9;12,2;15,3;16,4;16,9;14,1;15,6;14,3;16,3;14,5;19,0;23,0
2019-02-18;42051.875;1;23,3;27,1;;;26,4;18,6;12,1;8,4;11,2;12,7;12,5;12,1;10,5;9,3;12,4;14,6;10,8;9,6;10,1;10,4;14,3;17,0;18,6;23,6
2019-02-19;42052.875;2;23,9;37,2;;;23,4;20,8;11,0;7,3;7,8;12,1;12,6;13,2;12,0;11,3;12,7;13,7;10,4;10,3;8,6;9,3;14,0;18,7;19,2;21,6
2019-02-20;42053.875;3;25,2;23,1;;;29,9;22,1;10,4;8,9;12,2;11,5;12,7;12,7;11,4;10,9;12,1;14,4;9,3;7,6;7,8;8,0;13,4;18,7;16,0;21,1
2019-02-21;42054.875;4;24,9;20,7;;;24,8;20,0;12,2;10,6;11,8;12,7;11,1;13,0;11,0;10,2;11,3;14,4;10,6;9,6;7,5;10,0;13,4;13,8;23,3;24,0
2019-02-22;42055.875;5;24,5;19,9;;;26,5;21,0;10,3;6,3;8,1;10,5;7,6;10,0;9,7;6,7;12,4;12,9;10,8;7,6;9,0;9,7;12,4;18,8;19,5;19,8
2019-02-23;42056.875;6;20,2;24,5;;;26,2;22,2;20,2;18,8;12,2;11,2;10,3;12,6;13,5;12,0;13,1;;16,7;16,7;13,7;16,6;19,2;;10,9;
2019-02-24;42057.875;0;25,0;22,1;;;28,6;24,2;27,1;20,3;15,4;16,6;18,2;11,9;10,7;14,0;14,7;12,9;13,3;15,7;14,5;16,2;14,2;17,0;21,9;24,3
2019-02-25;42058.875;1;24,2;26,2;;;26,7;22,1;10,6;9,6;11,6;13,2;13,3;11,1;12,1;11,8;15,0;13,1;12,6;8,0;8,9;10,7;12,4;17,9;18,5;19,4
2019-02-26;42059.875;2;23,8;23,8;;;23,0;20,1;10,8;8,6;10,3;13,7;14,6;14,1;9,7;8,6;9,8;8,5;8,9;9,6;8,4;8,8;10,9;11,1;14,8;22,3
2019-02-27;42060.875;3;25,0;39,1;;;30,3;23,2;12,6;13,8;14,1;14,9;15,8;14,8;10,8;13,0;14,7;15,7;9,5;9,5;12,9;13,3;12,5;15,3;15,1;23,7
