data;data (Excel);dia (0 = domingo);0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
2019-02-01;42034.91666666667;5;25,8;35,8;39,0;38,5;40,9;34,3;25,9;21,8;20,2;23,9;27,1;23,4;21,7;21,8;28,6;33,3;18,5;22,6;20,5;20,8;26,0;24,8;21,3;33,9
2019-02-02;42035.91666666667;6;30,5;41,4;29,6;39,8;39,4;34,3;36,5;29,7;28,7;24,1;20,1;21,3;21,5;18,7;19,0;23,4;22,5;22,2;26,6;24,8;24,1;26,2;23,7;39,4
2019-02-03;42036.91666666667;0;35,1;36,8;37,6;35,9;37,2;29,4;31,1;33,4;33,2;24,6;23,5;26,7;24,2;31,1;36,7;21,5;27,6;26,8;32,1;23,0;33,7;31,1;25,7;29,2
2019-02-04;42037.91666666667;1;31,1;39,3;33,1;36,1;33,4;26,9;25,4;25,0;23,8;20,8;22,2;23,6;21,3;23,8;28,9;23,8;23,1;25,7;27,9;22,7;28,3;30,0;23,0;33,5
2019-02-05;42038.91666666667;2;31,8;40,1;42,5;41,1;36,6;28,6;20,9;18,8;18,1;29,6;17,0;24,9;23,7;16,6;27,4;22,8;23,8;21,3;22,9;20,5;22,8;27,2;29,2;39,9
2019-02-06;42039.91666666667;3;36,3;38,8;36,2;41,9;37,0;33,7;22,2;21,3;18,1;24,6;21,6;25,4;14,4;17,5;21,8;24,2;25,7;20,4;21,8;32,1;21,3;38,4;29,5;24,1
2019-02-07;42040.91666666667;4;36,9;47,4;41,0;42,5;38,0;26,7;27,6;22,5;28,3;23,6;27,3;18,9;25,9;19,8;23,3;23,9;17,5;16,1;19,6;17,1;38,6;24,0;30,8;29,5
2019-02-08;42041.91666666667;5;35,5;40,3;33,7;40,6;34,5;32,5;26,4;22,7;20,9;24,2;26,2;26,1;27,5;21,4;20,9;34,5;23,4;26,2;21,9;28,3;25,8;27,8;21,4;28,9
2019-02-09;42042.91666666667;6;34,4;41,7;40,1;33,5;38,7;30,9;37,3;29,0;26,8;22,0;23,1;28,7;17,2;29,7;26,3;27,1;23,1;27,7;25,3;25,2;25,9;27,2;21,5;35,0
2019-02-10;42043.91666666667;0;35,8;42,2;35,8;34,4;35,6;33,6;33,2;32,0;28,8;27,1;25,0;29,3;25,5;29,3;28,1;28,3;22,7;23,1;24,5;32,1;18,8;24,3;22,7;31,1
2019-02-11;42044.91666666667;1;37,8;37,6;39,5;41,3;38,0;38,1;23,8;21,6;18,9;24,1;23,1;26,9;19,8;23,1;23,8;17,6;22,8;27,5;16,5;14,3;31,0;30,5;30,2;35,8
2019-02-12;42045.91666666667;2;35,9;35,0;45,3;25,2;41,3;35,0;26,5;21,3;23,4;22,5;22,8;29,5;22,3;19,7;23,5;18,0;21,3;27,9;31,2;19,1;23,1;22,5;18,9;29,2
2019-02-13;42046.91666666667;3;32,5;34,3;40,0;43,2;34,7;28,1;22,5;25,4;17,5;22,5;20,3;27,2;27,9;21,2;27,0;24,6;21,4;28,1;18,4;24,3;20,7;28,8;19,6;31,9
2019-02-14;42047.91666666667;4;35,0;32,6;37,9;44,5;36,5;32,4;20,9;22,7;19,8;20,2;22,8;20,6;27,5;22,4;21,2;24,0;24,8;21,7;18,0;24,7;41,8;20,6;30,6;30,2
2019-02-15;42048.91666666667;5;34,6;32,3;38,7;39,7;41,5;30,3;23,0;21,6;22,1;23,2;19,8;26,7;15,8;19,2;21,2;16,3;18,5;27,2;15,5;18,9;24,1;15,6;19,7;23,6
2019-02-16;42049.91666666667;6;29,4;35,9;29,0;40,0;39,1;34,0;27,3;22,6;24,5;21,8;24,1;27,4;26,9;15,5;26,4;20,8;28,3;14,8;25,0;11,3;19,7;22,0;24,4;28,5
2019-02-17;42050.91666666667;0;34,5;36,9;37,7;39,4;35,8;35,9;28,2;28,7;36,1;26,3;33,0;27,6;28,0;29,3;25,7;25,0;27,2;25,4;26,1;23,9;20,7;19,7;28,0;32,3
2019-02-18;42051.875;1;30,2;44,7;40,5;38,2;39,9;31,1;21,6;18,5;16,3;16,5;19,6;26,2;21,1;24,0;19,1;26,3;26,2;20,9;11,3;26,2;;34,9;34,2;31,2
