data;data (Excel);dia (0 = domingo);0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
2019-02-01;42034.91666666667;5;30,0;38,7;39,5;34,5;30,2;36,0;29,3;24,7;25,8;27,0;24,1;20,7;25,6;23,2;33,3;28,9;22,5;22,6;20,2;21,6;27,1;24,9;21,8;29,6
2019-02-02;42035.91666666667;6;31,9;34,8;39,5;39,3;39,1;36,3;37,2;25,9;29,5;24,4;19,7;21,2;25,2;22,2;21,8;26,5;25,8;25,8;26,6;21,8;35,5;37,9;23,9;42,0
2019-02-03;42036.91666666667;0;34,0;35,3;33,3;34,7;34,1;30,8;34,6;37,6;34,4;28,0;29,0;24,7;26,5;27,7;34,0;20,7;38,9;24,2;31,9;29,8;38,7;26,8;24,7;33,3
2019-02-04;42037.91666666667;1;28,1;41,8;31,9;35,8;27,4;27,8;25,3;27,4;26,0;19,5;23,6;21,5;21,9;27,2;27,2;24,5;27,5;24,7;34,1;24,6;24,7;30,2;19,1;31,9
2019-02-05;42038.91666666667;2;31,1;37,9;44,8;39,2;34,3;31,2;21,6;20,8;23,6;37,3;19,8;26,7;29,2;18,8;27,6;24,2;25,8;24,6;21,0;18,9;32,0;22,7;30,3;35,8
2019-02-06;42039.91666666667;3;36,6;41,3;32,3;41,3;36,4;32,8;24,2;24,7;18,7;21,6;21,3;26,8;;20,7;21,5;24,8;25,0;20,4;20,0;33,0;23,2;34,6;30,7;23,4
2019-02-07;42040.91666666667;4;33,6;47,5;41,0;41,8;34,2;31,0;28,4;25,0;32,3;28,9;26,7;23,8;24,2;25,4;18,4;24,4;19,0;18,2;15,9;20,7;38,6;19,5;24,7;29,9
2019-02-08;42041.91666666667;5;35,3;40,4;37,1;37,6;34,5;36,3;30,4;32,9;22,3;24,5;24,3;22,9;31,0;22,7;28,8;33,1;26,7;27,0;23,0;27,3;31,2;26,0;19,3;25,2
2019-02-09;42042.91666666667;6;31,2;41,0;38,6;35,7;36,0;31,1;37,7;30,8;32,1;24,4;24,3;28,4;14,9;24,4;29,5;26,2;23,8;27,9;25,3;27,1;22,6;23,2;22,1;38,7
2019-02-10;42043.91666666667;0;33,1;42,9;33,1;33,9;32,3;30,4;31,7;29,7;29,4;30,6;26,5;27,1;25,8;24,1;32,4;30,4;27,5;24,1;27,3;25,5;38,6;32,2;24,3;32,0
2019-02-11;42044.91666666667;1;34,0;38,1;34,8;40,0;37,7;37,0;30,2;25,3;20,1;28,6;22,2;31,9;21,2;24,2;23,8;29,1;25,0;30,8;16,5;14,3;26,7;29,6;27,0;31,8
2019-02-12;42045.91666666667;2;33,6;34,6;43,4;38,7;41,7;34,5;29,7;25,1;20,7;28,1;22,2;24,5;24,3;24,9;23,9;17,3;27,7;27,0;27,4;23,6;25,2;23,6;20,9;35,6
2019-02-13;42046.91666666667;3;33,5;38,3;42,2;42,3;35,7;27,8;26,4;21,9;18,1;22,8;25,6;27,3;26,7;17,3;26,0;23,3;19,7;29,3;15,8;32,0;23,2;28,0;23,9;32,1
