data;data (Excel);dia (0 = domingo);0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
2019-02-01;42034.91666666667;5;24,4;39,3;;;20,3;14,2;11,9;5,8;5,9;7,2;11,7;11,6;14,3;10,2;13,1;12,2;9,3;10,2;11,1;8,6;15,9;12,8;18,9;21,2
2019-02-02;42035.91666666667;6;16,8;16,7;;;23,7;24,5;22,8;15,8;9,2;9,7;10,7;14,1;12,8;13,9;13,6;11,9;13,5;11,5;13,9;16,1;14,0;18,9;17,4;20,2
2019-02-03;42036.91666666667;0;25,5;29,3;21,4;;25,2;23,9;22,7;20,6;23,5;19,5;11,3;13,9;8,3;6,2;18,3;19,1;14,8;15,2;13,9;16,5;14,2;14,3;15,4;15,0
2019-02-04;42037.91666666667;1;24,0;31,9;;;16,9;13,8;8,5;8,7;7,1;9,0;15,6;13,8;13,0;12,6;11,7;15,1;11,3;9,6;9,8;13,4;15,3;21,3;21,3;17,9
2019-02-05;42038.91666666667;2;20,6;30,4;;;27,1;15,5;9,4;8,9;13,6;10,6;12,1;13,1;11,3;12,5;11,7;12,3;9,9;10,6;10,9;11,1;13,0;16,3;16,8;15,2
2019-02-06;42039.91666666667;3;22,3;25,0;;;23,6;18,7;8,5;7,9;6,1;3,7;6,5;9,7;10,9;10,5;9,3;12,7;11,5;13,4;10,3;11,1;14,3;14,6;14,9;16,9
2019-02-07;42040.91666666667;4;25,5;25,2;;;21,9;13,9;9,6;9,4;7,8;11,7;14,0;11,4;11,6;11,2;11,8;11,4;12,1;11,4;10,0;12,0;12,9;14,7;18,3;21,4
2019-02-08;42041.91666666667;5;22,5;20,2;;;20,8;13,7;10,3;6,2;7,7;9,9;9,8;10,5;11,4;9,0;13,4;10,5;8,2;9,2;10,5;9,2;12,7;14,4;15,8;23,3
2019-02-09;42042.91666666667;6;25,9;26,8;;;28,4;24,8;19,8;16,2;7,8;8,2;10,0;8,9;11,9;14,8;13,3;13,8;14,9;14,4;12,8;16,0;9,4;15,4;16,6;20,0
2019-02-10;42043.91666666667;0;23,1;29,2;;;23,2;26,2;22,8;16,3;17,6;12,9;16,1;14,4;10,5;10,2;15,9;17,9;14,2;19,6;13,8;12,2;14,5;16,0;23,0;17,2
