,count,mean,std,min,25%,50%,75%,max
DiaSemana,1254.0,4.141148325358851,2.0091603361886166,1.0,2.0,4.0,6.0,7.0
Feriado,1254.0,0.05661881977671451,0.23120501123322598,0.0,0.0,0.0,0.0,1.0
horaiox,1254.0,820.1307814992025,341.2925697372979,269.0,509.25,812.5,1111.0,1430.0
Posx2,1254.0,121.8724036003349,121.01928379568791,37.68286365,81.0386774775,97.277657395,123.95687550000001,1771.114595
Posx3,1254.0,87.61078258978469,51.322286266733585,24.68630935,52.0152191825,74.37805789500001,102.959811075,513.9931416000001
Posx4,1254.0,72.27797505357258,50.42234245093831,25.30497175,50.60693859,62.148507765000005,77.882370105,668.9884441
Posx5,1254.0,123.57013399094896,87.9648516598233,31.21271355,80.04299728000001,101.8133028,131.07373085,1108.677594
Posx6,1254.0,47.162057767081336,38.549700782153664,15.87981165,32.877389217499996,41.998856884999995,51.05352828,1031.313512
Posx7,1254.0,102.32328768454545,78.16356748730236,23.31316879,53.2500358625,79.9990157,130.476274075,1380.111881
Posx8,1254.0,77.28996028998405,50.893136654484294,20.87836254,49.68306134,68.809211425,92.4044970025,1254.2149140000001
Posx9,1254.0,64.96948155078948,53.35899085955152,17.54527171,39.51895433,52.61218414,67.75267704,996.0280817
Posx10,1254.0,75.33969180334131,68.68224530730605,18.81135944,41.92749541,58.09101934,80.8883535975,1091.70664
Posx11,1254.0,170.27144253216906,117.75485848318549,26.37758462,90.337404005,130.75459465,207.255075725,1289.290092
Posx12,1254.0,8.77906976923126,4.648061208276628,2.424517879,5.336780171,8.145007747000001,10.42158776,33.98659083
Posx13,1254.0,26.181034251929823,10.083085545767217,10.17844824,19.83437492,26.590708655,30.784488869999997,181.714029
Posx14,1254.0,53.191168163126,50.778620256370196,29.44298051,41.90189,47.653193419999994,56.04043356,1685.487462
Posx15,1254.0,36.882522834130775,28.438417112934623,17.82577524,27.29294251,32.39154629,42.676216454999995,896.4628616
Posx16,1254.0,38.77289750253588,14.880967853749075,18.48413141,28.87188625,38.153795645,45.31981365,327.11904639999995
Posx17,1254.0,47.21689994903509,16.49485834886845,23.55833505,36.78158422,46.805486605,55.342853700000006,381.1692656
Posx18,1254.0,68.84563936805422,60.21600114482762,23.52615672,48.3081448575,63.798214040000005,80.6614808325,1950.576782
Posx19,1254.0,81.99051466266347,31.2308924740856,32.24055511,61.1792425075,79.0060921,95.95798322,633.0435457000001
Posx20,1254.0,61.891469813700155,30.109133175820524,16.0197909,41.500652647500004,55.76047002999999,73.93683619,427.3242016
Posx21,1254.0,87.5404221994338,56.02512008476925,17.10728437,48.8246151,68.98998047500001,110.2342159,501.5411302
Posx22,1254.0,57.84389589129187,32.164414411987906,12.26310236,36.268908617499996,50.11207039999999,74.71879012,398.2412473
Posx23,1254.0,32.02566282873206,17.858039241284704,13.10925109,21.51889323,29.273324925,38.322689155,374.1105582
Posx24,1254.0,38.01215232692982,22.43911030089545,17.16222712,25.720158065,32.0857072,44.55591277,496.24299519999994
Posx25,1254.0,20.45530482292504,12.481256960538254,8.916629618,13.92998882,17.562858305,24.49426339,257.822888
Posx26,1254.0,6.449248707740032,4.01488840809771,2.220188244,4.328922532,5.571275856000001,7.633180032,78.88194364
Posx27,1254.0,58.56243076078947,31.65107895737636,22.02317503,39.64460821750001,53.533587055,70.63624587999999,586.8617307999999
Posx28,1254.0,66.75973435272726,45.59511739433468,12.18620427,35.7573433625,48.07216746,83.1327901625,364.9803227
