y2;y3;y4;y5;y6;y7;y8;y9;y10;y11;y12;y13;y14;y15;y16;y17;y18;y19;y20;y21;y22;y23;y24;y25;y26;y27;y28;y29;y30;y31;y32;y33;y34;y35;y36;yTotal
122,05355072021484;87,47261810302734;72,67385864257812;124,03804779052734;47,6227912902832;104,15082550048828;77,13704681396484;64,52166748046875;75,45814514160156;169,5106964111328;8,928948402404785;26,587629318237305;53,15776062011719;35,89546203613281;38,386775970458984;47,178340911865234;69,36024475097656;82,14385223388672;61,51004409790039;87,74202728271484;57,94246292114258;31,85334014892578;37,97073745727539;20,473726272583008;6,504946708679199;58,67939758300781;67,61616516113281;45,275386810302734;75,50218963623047;60,90483474731445;67,22677612304688;26,135066986083984;117,80186462402344;9,88097095489502;322,8714294433594;2134,9560546875
122,09777069091797;87,5270767211914;72,73441314697266;124,10612487792969;47,6322021484375;104,16816711425781;77,13575744628906;64,51761627197266;75,44505310058594;169,46376037597656;8,928363800048828;26,591934204101562;53,154720306396484;35,894798278808594;38,38478088378906;47,17426681518555;69,35466766357422;82,14164733886719;61,50334930419922;87,73490142822266;57,938961029052734;31,85233497619629;37,966243743896484;20,473018646240234;6,504067897796631;58,675315856933594;67,6121826171875;45,26995849609375;75,49471282958984;60,89946365356445;67,2258529663086;26,131389617919922;117,79593658447266;9,879182815551758;322,88128662109375;2134,974365234375
122,10318756103516;87,54757690429688;72,74781036376953;124,11308288574219;47,633419036865234;104,1725082397461;77,13358306884766;64,51628112792969;75,4395980834961;169,4488983154297;8,928274154663086;26,590280532836914;53,152992248535156;35,8943977355957;38,38405227661133;47,17361068725586;69,34668731689453;82,14134979248047;61,50163650512695;87,7376937866211;57,94073486328125;31,851749420166016;37,965110778808594;20,47237205505371;6,503836154937744;58,67356872558594;67,61248779296875;45,26966857910156;75,49201202392578;60,896461486816406;67,22522735595703;26,1303653717041;117,79544067382812;9,878412246704102;322,8183898925781;2134,987060546875
122,09119415283203;87,50511932373047;72,69210052490234;124,04354095458984;47,63520812988281;104,17085266113281;77,15447998046875;64,5314712524414;75,4870376586914;169,6127166748047;8,930794715881348;26,59172248840332;53,160526275634766;35,89728546142578;38,394859313964844;47,188255310058594;69,37781524658203;82,1791000366211;61,521270751953125;87,79573059082031;57,973724365234375;31,86066246032715;37,97639083862305;20,47650146484375;6,505794048309326;58,68722152709961;67,64330291748047;45,28534698486328;75,50997924804688;60,917877197265625;67,22935485839844;26,1396427154541;117,81639862060547;9,884001731872559;322,90185546875;2135,234619140625
122,14849090576172;87,53703308105469;72,73121643066406;124,0857162475586;47,64088439941406;104,17707824707031;77,16785430908203;64,53459930419922;75,50448608398438;169,67201232910156;8,931024551391602;26,595243453979492;53,16161346435547;35,89744186401367;38,397308349609375;47,190189361572266;69,38075256347656;82,18865966796875;61,526268005371094;87,81078338623047;57,98999786376953;31,859907150268555;37,97613525390625;20,477401733398438;6,505999565124512;58,691219329833984;67,64923858642578;45,28647994995117;75,51153564453125;60,91814422607422;67,23088073730469;26,140674591064453;117,82035827636719;9,883829116821289;322,9297790527344;2135,429443359375
122,67530822753906;87,5462646484375;72,68067169189453;123,95076751708984;47,79681396484375;104,3043441772461;77,64143371582031;65,17121124267578;77,04834747314453;175,10386657714844;8,970242500305176;26,657207489013672;53,278656005859375;35,97309112548828;38,64064025878906;47,4599609375;69,8163833618164;82,98336029052734;62,3290901184082;89,14632415771484;58,99778747558594;32,024662017822266;38,20381164550781;20,55585479736328;6,548020839691162;59,01591873168945;68,38540649414062;45,50950241088867;75,91463470458984;61,259056091308594;67,3662338256836;26,496755599975586;118,84663391113281;9,98228931427002;325,5356750488281;2144,55224609375
125,29053497314453;87,85674285888672;72,66343688964844;123,84922790527344;48,863677978515625;105,35446166992188;81,61334991455078;88,4278335571289;105,50712585449219;245,47994995117188;9,10420036315918;26,876386642456055;53,882965087890625;38,361595153808594;41,957061767578125;49,52769088745117;72,00784301757812;90,29144287109375;79,900146484375;106,94955444335938;73,0406265258789;33,910179138183594;40,359920501708984;21,597978591918945;7,018564701080322;63,52827835083008;80,00990295410156;46,71477508544922;80,52503967285156;64,12085723876953;71,58259582519531;36,98552322387695;160,80126953125;10,832438468933105;331,8158874511719;2301,8740234375
131,6436309814453;91,9862060546875;74,72496795654297;125,89681243896484;52,419029235839844;115,98694610595703;93,21992492675781;106,05046081542969;125,88148498535156;266,8194580078125;9,235390663146973;27,47555923461914;54,42342758178711;42,396728515625;45,606407165527344;52,13237762451172;74,12760925292969;98,28133392333984;88,18141174316406;129,56109619140625;83,6152572631836;38,25131607055664;44,338871002197266;23,809755325317383;7,790402889251709;70,01592254638672;95,60688781738281;49,75641632080078;88,60236358642578;68,1799545288086;80,83941650390625;44,410728454589844;181,695068359375;12,029580116271973;337,2080993652344;2657,2822265625
134,29583740234375;100,8382339477539;78,24503326416016;130,35874938964844;53,93656539916992;127,60586547851562;91,8194580078125;95,0327377319336;113,6675033569336;249,95303344726562;9,239726066589355;27,628963470458984;54,155277252197266;40,279258728027344;44,47098159790039;50,978111267089844;73,32628631591797;96,3089599609375;83,82966613769531;127,79156494140625;81,40184783935547;38,166748046875;43,893028259277344;23,267192840576172;7,513495445251465;67,07569885253906;93,25989532470703;50,22481155395508;84,69518280029297;67,2287826538086;75,50218963623047;39,987701416015625;174,49649047851562;11,868453979492188;339,9127502441406;2668,58935546875
161,95433044433594;111,9371566772461;92,4953842163086;158,6628875732422;64,87263488769531;163,39797973632812;111,22663879394531;111,04997253417969;134,12982177734375;271,9353332519531;9,843944549560547;30,30412483215332;58,795433044433594;46,098201751708984;47,75681686401367;55,04249954223633;87,77755737304688;102,08575439453125;88,64437866210938;138,01036071777344;86,40934753417969;44,25277328491211;52,2449836730957;28,954387664794922;9,330484390258789;82,86270141601562;106,18067932128906;57,2732048034668;99,79027557373047;78,0618896484375;99,06146240234375;46,91020584106445;184,41090393066406;13,839435577392578;380,0431823730469;2785,56591796875
