data;data (Excel);dia (0 = domingo);0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
2019-02-01;42034.91666666667;5;23,7;29,9;29,2;24,4;21,8;24,3;14,4;15,8;14,9;14,0;13,6;13,5;17,9;16,2;17,7;15,3;14,9;16,4;15,6;22,1;16,9;21,8;23,8;22,2
2019-02-02;42035.91666666667;6;29,5;27,7;31,7;27,4;30,5;16,4;23,5;17,1;17,7;15,7;16,5;17,6;15,6;14,8;18,4;19,1;19,1;17,4;21,1;16,1;19,2;17,1;20,1;23,2
2019-02-03;42036.91666666667;0;24,0;28,0;32,6;32,0;27,5;22,6;20,8;24,2;18,1;19,8;18,1;21,7;20,8;14,7;15,8;17,1;19,2;18,3;21,0;15,9;19,2;18,7;14,8;27,3
2019-02-04;42037.91666666667;1;23,0;26,8;22,4;22,5;37,7;22,6;16,6;14,1;15,0;16,5;15,0;14,5;18,0;16,2;14,6;13,9;14,6;16,0;18,1;17,0;19,6;22,3;26,1;28,2
2019-02-05;42038.91666666667;2;22,7;28,4;26,2;26,6;27,0;25,7;18,3;14,6;13,2;13,1;14,6;15,7;14,5;15,6;15,6;16,3;16,7;14,6;14,3;14,2;18,0;20,8;20,5;29,5
2019-02-06;42039.91666666667;3;29,8;26,3;29,9;23,9;29,8;22,2;15,8;14,2;12,7;13,9;15,8;12,8;16,7;17,9;12,3;14,7;14,9;15,6;15,3;16,3;18,8;18,1;22,4;23,1
2019-02-07;42040.91666666667;4;26,3;25,6;35,8;37,6;25,4;25,4;16,9;15,7;13,5;15,3;14,9;18,6;16,2;12,2;16,8;12,6;19,7;15,4;12,3;17,8;17,0;17,5;24,4;25,0
2019-02-08;42041.91666666667;5;23,5;25,8;26,7;24,4;35,8;24,3;19,2;14,6;13,6;14,0;13,0;16,4;15,3;15,7;17,2;18,1;15,2;18,4;18,5;12,3;17,2;17,6;17,5;25,1
2019-02-09;42042.91666666667;6;29,5;25,8;23,7;27,8;37,5;26,2;20,9;19,6;16,8;19,2;18,5;18,8;13,4;14,5;19,0;16,8;16,6;17,6;18,4;17,1;16,8;25,7;19,5;21,9
2019-02-10;42043.91666666667;0;22,3;30,0;26,3;24,5;20,2;22,5;22,4;18,2;22,5;13,7;20,7;17,6;16,7;17,2;15,9;20,9;15,0;16,7;20,3;17,1;15,4;22,4;16,5;22,2
2019-02-11;42044.91666666667;1;24,9;26,6;26,4;27,3;23,9;25,2;19,7;14,3;12,1;12,8;13,9;17,3;12,3;17,8;13,1;15,9;15,2;17,0;15,7;20,7;18,3;19,4;21,9;25,8
2019-02-12;42045.91666666667;2;22,2;29,1;27,6;25,5;21,2;20,4;13,8;13,2;12,6;11,6;15,3;18,0;13,7;15,1;14,5;14,6;15,4;15,2;14,7;16,4;23,8;21,0;23,5;21,0
2019-02-13;42046.91666666667;3;22,9;35,9;26,0;27,7;30,0;24,2;16,8;12,4;17,2;14,3;10,9;14,6;17,1;15,9;12,6;15,4;14,9;17,0;14,5;21,2;16,9;21,0;23,5;31,1
2019-02-14;42047.91666666667;4;25,7;29,2;35,0;27,7;26,9;23,2;17,6;11,9;14,6;13,3;13,2;15,0;13,8;14,0;17,4;13,3;16,4;16,6;17,7;20,5;16,8;17,1;18,7;30,1
2019-02-15;42048.91666666667;5;30,1;26,9;27,3;29,6;28,7;24,9;17,8;15,0;11,4;14,3;13,3;16,7;20,1;14,8;15,3;11,5;14,7;12,6;16,0;14,3;14,6;12,9;23,2;28,7
2019-02-16;42049.91666666667;6;26,6;30,0;34,6;26,9;20,4;23,4;19,6;18,5;15,8;13,9;14,0;18,7;19,5;16,5;16,4;14,2;14,5;16,8;16,9;7,8;17,7;18,4;19,0;27,3
2019-02-17;42050.91666666667;0;28,5;30,1;25,2;34,8;25,2;17,7;26,7;23,2;23,1;19,6;18,6;17,7;14,6;14,5;19,4;18,7;18,9;21,4;20,2;12,7;23,1;20,6;18,7;25,5
2019-02-18;42051.875;1;20,4;33,6;28,8;32,2;27,3;23,8;16,3;15,5;12,2;15,5;14,9;19,1;14,1;15,0;21,9;17,7;14,8;15,5;17,9;16,3;16,5;20,4;18,0;25,7
2019-02-19;42052.875;2;24,3;35,1;15,5;24,3;24,9;20,3;14,9;12,0;15,9;15,3;12,1;16,5;14,2;15,1;12,8;16,4;18,0;12,1;15,1;14,3;16,5;25,3;19,0;27,5
2019-02-20;42053.875;3;28,3;27,0;29,5;26,2;31,0;21,0;15,0;10,2;13,0;14,2;17,1;16,4;13,9;15,1;16,5;13,6;14,3;15,9;17,5;16,3;16,1;19,5;17,5;24,0
2019-02-21;42054.875;4;26,9;33,2;21,0;37,5;23,8;25,9;15,7;12,6;14,5;14,0;14,2;15,1;19,7;16,2;17,6;16,9;14,8;13,7;15,3;17,9;15,5;21,3;19,0;24,4
2019-02-22;42055.875;5;30,0;23,5;37,8;35,8;29,8;29,2;15,6;14,8;13,2;14,5;13,4;14,3;14,9;16,0;14,6;17,1;16,4;13,8;13,3;17,4;13,9;16,3;19,4;23,7
2019-02-23;42056.875;6;25,4;29,5;27,6;24,7;23,4;20,1;23,6;22,1;22,2;15,0;19,3;12,8;20,4;12,3;9,7;15,7;9,8;16,7;15,8;;20,1;22,4;15,9;
2019-02-24;42057.875;0;23,7;24,2;27,3;30,8;26,5;22,1;22,1;16,5;21,3;22,1;23,6;18,0;15,8;15,8;16,7;15,1;14,3;19,9;16,6;17,1;20,0;13,6;16,4;27,8
2019-02-25;42058.875;1;26,6;27,3;28,7;41,6;25,7;25,0;16,0;12,6;14,3;16,9;16,0;14,6;19,3;12,3;16,7;21,0;14,8;18,2;17,2;17,2;22,2;25,4;19,3;24,5
2019-02-26;42059.875;2;26,4;31,3;26,5;30,2;30,5;24,4;18,2;14,2;13,5;14,9;12,5;16,5;20,1;16,8;16,3;14,3;18,2;14,2;22,3;14,0;18,4;20,2;17,7;19,6
2019-02-27;42060.875;3;26,8;32,8;33,5;23,9;20,2;23,1;13,4;16,9;11,8;14,3;13,3;12,3;16,3;16,5;14,9;10,8;14,5;18,0;14,4;13,0;19,1;16,0;23,7;23,1
