data;data (Excel);dia (0 = domingo);0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
2019-02-01;42034.91666666667;5;38,3;39,1;32,9;38,2;30,1;19,8;19,1;17,5;17,3;17,1;20,3;22,3;23,2;18,7;19,2;21,5;17,1;20,7;18,3;20,5;22,5;22,3;27,0;27,8
2019-02-02;42035.91666666667;6;27,2;33,7;38,3;34,2;36,6;27,2;22,8;16,0;24,1;21,2;16,9;19,7;23,4;21,0;15,6;25,0;22,6;24,5;21,3;23,1;21,4;26,0;26,8;36,6
2019-02-03;42036.91666666667;0;34,9;35,4;35,2;35,4;36,1;38,1;27,7;27,3;24,1;22,1;24,0;26,0;27,9;18,7;25,1;25,2;29,0;27,0;23,3;23,7;22,5;24,6;29,1;31,2
2019-02-04;42037.91666666667;1;32,4;41,3;38,3;31,4;25,0;20,4;17,1;18,9;11,4;15,9;22,0;17,9;20,3;18,5;16,0;19,2;17,6;18,5;19,5;21,2;26,0;21,8;24,8;28,7
2019-02-05;42038.91666666667;2;31,9;40,2;34,8;37,3;36,5;26,0;19,9;13,2;7,6;12,8;15,4;17,8;19,0;18,7;18,4;19,8;22,0;18,6;18,1;19,1;24,8;25,8;26,5;29,2
2019-02-06;42039.91666666667;3;35,2;32,0;47,7;41,7;33,3;26,5;19,8;8,5;12,0;17,6;17,0;5,0;18,4;17,6;16,3;16,9;17,9;16,9;18,3;18,1;18,2;23,5;26,4;20,4
2019-02-07;42040.91666666667;4;30,7;38,7;38,3;44,8;34,2;25,3;17,5;10,4;8,8;14,2;18,6;14,3;22,7;22,0;18,1;19,8;15,5;20,3;21,8;20,0;18,7;21,8;29,2;25,9
2019-02-08;42041.91666666667;5;33,2;34,4;41,5;37,0;32,3;23,1;15,5;15,9;17,0;17,0;19,1;18,5;16,1;16,2;17,4;19,3;17,9;14,4;18,1;22,8;17,0;21,7;23,2;24,5
2019-02-09;42042.91666666667;6;35,6;36,6;34,4;31,1;34,9;30,6;22,1;26,0;25,0;20,6;20,5;21,8;19,8;20,8;19,4;19,3;19,4;21,0;14,7;25,3;21,4;30,2;28,1;36,7
2019-02-10;42043.91666666667;0;34,5;40,0;31,1;30,0;35,0;24,3;26,0;24,2;24,8;25,7;19,8;24,3;21,9;21,4;19,4;29,8;21,6;22,8;24,5;22,0;33,9;25,6;30,3;25,4
2019-02-11;42044.91666666667;1;32,1;36,9;37,4;38,9;28,1;24,8;19,4;8,8;9,5;17,9;18,1;21,3;17,6;17,8;17,5;21,0;19,6;19,1;18,3;17,4;20,6;24,3;23,0;23,9
2019-02-12;42045.91666666667;2;34,1;39,8;37,9;38,9;26,9;26,6;15,8;16,8;7,1;20,3;20,2;15,9;17,0;21,4;20,5;14,4;19,1;17,0;17,6;15,9;20,5;20,5;22,4;17,4
