data;data (Excel);dia (0 = domingo);0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
2019-02-01;42034.91666666667;5;17,3;24,5;26,7;25,7;20,9;22,2;13,6;10,6;7,1;9,7;10,6;10,9;10,4;13,9;12,3;16,2;15,8;13,9;13,0;13,8;15,2;15,2;17,5;18,1
2019-02-02;42035.91666666667;6;16,2;23,7;16,2;19,4;21,1;20,6;18,3;14,2;21,5;13,6;12,3;13,0;14,1;17,3;13,7;13,9;13,8;21,1;17,2;19,9;18,2;13,9;16,7;21,3
2019-02-03;42036.91666666667;0;17,6;20,8;17,5;20,7;25,5;19,5;22,6;18,3;17,8;15,8;15,6;15,6;14,7;12,2;16,2;14,0;11,8;14,6;10,2;15,0;14,4;12,2;12,9;21,6
2019-02-04;42037.91666666667;1;18,5;29,5;22,8;31,1;25,0;21,9;11,8;9,3;7,6;8,6;7,6;13,9;13,4;14,5;13,0;13,6;14,7;15,5;13,7;13,2;14,8;18,8;20,2;22,5
2019-02-05;42038.91666666667;2;19,0;22,8;26,4;25,0;21,8;19,3;11,6;6,9;6,0;8,6;9,5;10,3;15,2;11,4;11,3;13,7;13,4;14,6;6,2;16,5;17,1;21,5;14,5;18,0
2019-02-06;42039.91666666667;3;19,0;20,6;17,1;18,1;16,5;21,8;11,4;7,3;5,3;8,8;11,0;5,0;10,2;7,7;11,5;17,9;10,1;10,5;13,8;17,6;15,9;18,1;20,1;21,3
2019-02-07;42040.91666666667;4;20,9;18,5;26,4;28,3;19,8;16,8;10,0;6,0;4,5;7,4;11,0;12,2;11,7;8,5;11,7;12,7;10,4;14,5;10,6;17,0;13,6;16,5;17,7;18,2
2019-02-08;42041.91666666667;5;21,3;30,8;23,8;20,6;22,6;18,4;11,6;7,0;6,9;9,5;12,3;9,7;7,8;10,0;12,6;12,2;15,3;5,9;9,1;13,7;16,2;15,9;19,0;16,5
2019-02-09;42042.91666666667;6;19,1;26,2;20,4;24,2;19,5;20,2;18,4;18,4;14,5;11,5;11,9;11,2;12,3;9,8;12,0;15,7;17,5;14,5;14,7;19,6;15,4;23,7;16,6;22,4
2019-02-10;42043.91666666667;0;20,1;25,0;18,3;22,1;26,6;28,7;15,6;18,2;21,6;18,6;16,0;17,0;17,9;14,0;15,7;13,4;16,6;15,1;17,9;19,1;18,6;12,9;18,7;20,4
2019-02-11;42044.91666666667;1;21,0;32,9;19,3;25,9;21,5;18,8;4,8;4,8;7,3;8,0;11,2;12,7;12,0;11,9;12,4;16,2;15,4;6,0;12,8;12,8;16,6;19,3;20,8;18,0
2019-02-12;42045.91666666667;2;23,9;20,1;23,8;21,1;21,4;18,5;10,7;7,6;6,6;10,2;10,8;14,2;12,2;14,6;16,3;12,7;15,5;11,9;10,7;17,2;16,7;16,8;17,9;16,4
2019-02-13;42046.91666666667;3;23,8;28,3;31,0;22,7;21,0;18,3;10,8;8,0;6,5;7,8;9,2;12,1;10,7;11,7;12,0;14,5;10,4;6,7;13,2;14,6;15,3;19,4;19,1;21,0
2019-02-14;42047.91666666667;4;20,8;25,8;26,3;23,1;25,9;18,6;13,0;8,1;6,2;7,1;7,5;7,7;6,8;7,8;9,7;10,8;13,8;13,3;10,2;12,8;16,9;16,3;15,0;21,6
2019-02-15;42048.91666666667;5;20,6;27,5;19,3;26,1;19,5;23,9;13,3;7,9;5,9;8,9;12,5;10,0;14,2;11,3;8,7;11,1;12,9;14,5;12,4;8,9;14,7;13,4;16,6;23,5
2019-02-16;42049.91666666667;6;18,7;19,3;25,5;27,1;18,6;19,5;20,8;16,0;7,4;6,9;6,1;13,0;8,7;13,0;13,9;17,1;15,1;14,6;19,4;6,4;7,1;13,9;20,8;19,7
2019-02-17;42050.91666666667;0;17,2;20,5;23,6;19,4;26,9;18,4;23,8;13,1;18,5;16,3;12,3;17,7;11,1;14,5;15,5;15,2;12,7;16,5;13,7;19,0;16,7;18,3;22,3;19,3
2019-02-18;42051.875;1;23,0;18,6;30,1;25,0;21,5;21,2;11,8;8,0;7,1;7,7;6,3;12,5;16,2;14,3;12,7;15,4;15,6;11,1;12,4;13,0;16,7;16,1;18,8;20,1
2019-02-19;42052.875;2;17,1;24,9;24,0;26,3;26,4;20,0;12,8;7,7;5,5;5,6;10,3;11,9;12,2;9,6;12,1;14,5;13,8;13,4;7,9;17,5;16,8;20,4;16,1;20,8
2019-02-20;42053.875;3;23,9;24,2;20,0;25,2;19,2;17,7;12,5;8,1;7,1;10,7;11,5;13,2;9,6;10,3;16,3;13,3;13,9;14,1;13,7;12,9;9,4;17,8;18,4;19,6
2019-02-21;42054.875;4;19,7;26,5;29,3;23,4;20,5;21,5;10,8;6,1;7,2;8,6;9,2;10,1;11,0;10,5;11,9;17,0;11,5;15,4;13,3;7,9;15,1;18,4;17,3;14,7
2019-02-22;42055.875;5;20,2;18,7;26,0;23,6;19,4;18,5;12,6;7,0;6,9;8,0;8,7;7,9;7,4;8,3;12,0;12,9;13,9;11,4;12,5;9,5;14,9;13,3;21,2;19,7
2019-02-23;42056.875;6;21,2;20,7;25,6;24,1;23,3;23,7;19,2;15,8;14,6;11,6;10,2;15,4;13,0;11,6;8,9;10,4;11,4;17,3;19,1;12,3;11,9;22,8;12,2;
2019-02-24;42057.875;0;17,2;16,2;26,0;21,1;23,0;16,3;16,1;15,3;17,6;14,4;14,1;13,6;13,8;12,0;14,9;12,1;14,9;16,5;10,4;14,1;26,2;13,0;19,1;22,1
