data;data (Excel);dia (0 = domingo);0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
2019-02-01;42034.91666666667;5;28,6;34,0;31,0;36,5;25,7;18,2;13,8;14,2;14,6;14,6;10,2;12,7;10,4;14,0;15,0;12,7;10,0;11,4;13,1;14,4;15,6;16,0;17,7;19,3
2019-02-02;42035.91666666667;6;18,6;27,4;30,3;31,4;22,2;20,4;18,9;16,6;17,0;13,2;9,8;8,5;8,8;7,0;9,1;9,2;11,7;11,1;11,0;15,6;13,8;17,8;16,0;20,6
2019-02-03;42036.91666666667;0;21,4;22,2;35,8;28,0;27,3;23,7;22,1;19,2;17,9;15,4;15,3;14,4;12,3;15,8;16,4;18,2;17,8;17,1;18,7;18,6;17,0;16,2;18,7;22,2
2019-02-04;42037.91666666667;1;26,2;28,4;25,8;31,3;23,2;18,5;10,9;10,8;15,6;12,2;11,3;11,1;9,1;4,7;10,4;9,0;9,7;11,9;13,9;18,0;17,2;18,8;21,4;24,6
2019-02-05;42038.91666666667;2;30,1;23,7;33,0;24,8;21,8;18,8;13,6;13,6;16,5;14,3;11,5;8,7;10,0;12,0;6,2;7,8;12,7;13,1;13,2;16,0;14,0;16,4;18,3;24,1
2019-02-06;42039.91666666667;3;30,1;32,9;41,2;25,8;24,6;20,0;14,2;11,8;14,5;14,4;11,1;11,2;7,6;6,9;9,6;14,0;11,9;14,1;14,6;16,4;14,3;16,9;19,5;24,0
2019-02-07;42040.91666666667;4;27,6;33,3;29,6;51,6;22,1;19,2;15,5;11,4;14,9;12,9;13,9;14,0;11,4;11,5;10,0;12,8;13,2;13,7;13,2;14,1;15,1;16,5;20,2;22,5
2019-02-08;42041.91666666667;5;23,8;27,6;37,2;33,3;23,1;20,6;15,0;14,2;14,6;13,2;12,0;9,8;8,1;10,0;11,8;13,9;9,8;12,4;15,1;15,2;12,2;12,7;16,5;21,5
2019-02-09;42042.91666666667;6;21,5;26,2;19,8;34,9;22,5;20,4;19,3;16,4;17,1;13,8;9,4;8,6;7,1;8,4;10,3;8,2;7,6;8,6;8,8;14,1;14,8;17,3;21,0;20,6
2019-02-10;42043.91666666667;0;21,9;27,6;16,8;35,4;23,9;22,1;21,6;19,2;19,7;15,3;11,3;13,7;10,4;14,4;16,7;18,0;15,4;13,9;18,1;17,5;16,0;17,4;19,0;23,2
