x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31 x32 x33 x34 x35 x36 x37 y1 y2 y3 y4 y5 y6 y7 y8 y9 y10 y11 y12 y13 y14 y15 y16 y17 y18 y19 y20 y21 y22 y23 y24 y25 y26 y27 y28 y29 y30 y31 y32 y33 y34 y35
50197.20128 89 92 89 112 40 96 88 54 60 95 23 37 43 23 23 28 46 76 39 90 80 32 27 14 3 43 27 78 66 40 45 14 85 9 253 2053 53.57838885 89.01789689 109.7016857 52.39114047 109.7683394 88.92240857 66.9653831 78.44194213 135.8703252 18.2123767 18.42178199 44.48170401 44.86253641 29.96767089 46.69007943 58.38369811 75.25279855 64.01386145 136.6603801 111.0173803 76.91182697 67.54585798 35.09342826 10.73697468 79.88037919 49.67910717 48.29485095 74.77619117 111.6908867 78.4801655 27.94026223 167.4995146 12.92019747 508.4172301 2369.062038
51067.45708 82 71 73 97 39 81 76 53 64 78 21 34 44 22 24 38 66 81 48 94 71 33 30 15 4 63 28 82 67 42 46 15 170 9 242 2021 98.70473519 83.68520918 175.6566513 51.71646662 85.28170274 97.36157712 49.55893457 40.20323509 143.6740221 18.2123767 18.42178199 41.90189063 41.22604374 31.17770569 43.26888621 89.9486559 111.7820607 53.50621941 130.5164397 33.59464465 22.94757154 29.94533081 15.45714622 4.729175591 78.5763931 79.4107334 52.88285099 84.52619864 80.32461586 70.07709111 35.69980636 199.3978963 29.36102184 298.6619337 2319.284863
52240.80335 91 80 83 100 39 77 81 54 57 85 20 33 43 23 23 26 49 73 41 52 69 33 33 16 4 45 28 82 64 41 46 10 68 7 163 1779 124.5035976 112.7894569 137.9449468 31.76384526 83.70741913 138.5201185 56.97152072 82.6321075 149.3413187 13.22765469 25.01419242 50.44773796 22.71675279 21.79656629 35.79909734 78.97854277 96.29156054 48.95590714 116.0979118 25.58088179 21.44469735 43.41552467 18.03576895 5.265290919 53.79256241 157.8809129 37.76732495 78.12923763 67.92630691 82.38723103 28.39669331 105.7855577 7.995437924 153.3027555 2304.842702
53717.26317 98 107 99 125 42 115 110 63 62 91 20 35 44 26 24 26 49 66 34 54 52 32 30 16 4 56 31 110 59 37 40 10 65 8 185 1801 49.12276275 60.71291186 111.9495933 48.50522499 89.11362221 176.5294312 46.15273825 61.24527482 132.3495751 8.330122288 26.87687783 45.264715 31.8773794 25.31960404 34.45058197 66.14193027 87.17227096 67.68811292 40.18080072 55.83306821 53.04304927 70.35952646 36.55526906 11.18423135 83.20785121 51.74852426 50.30660578 91.60647041 77.92154413 85.18415624 23.78178171 139.1200951 7.885667472 263.4113108 2159.105726
54610.22471 84 72 70 110 40 88 94 62 67 82 21 34 43 24 24 27 42 66 37 49 55 30 35 14 3 43 29 130 75 42 43 11 83 7 191 1994 88.97604123 105.1213664 103.8397544 48.72713902 106.9210191 73.38500165 45.47877854 64.87343106 156.7873115 3.956336039 17.58454617 45.13621854 27.22184302 45.31981428 52.77075896 77.25481004 55.76021292 48.02037044 88.66958984 57.72305934 44.82583562 59.45971508 30.89227548 9.451615275 70.31762931 43.7318533 42.51331107 91.98679612 84.85547667 92.76436055 26.0023616 134.0904742 12.66433799 227.1582699 2164.278075
56058.33462 98 76 76 114 39 94 86 55 66 72 20 36 43 23 24 30 49 70 38 60 59 41 35 15 4 48 29 171 66 40 48 13 70 7 161 1928 81.93066793 62.3893562 203.7000135 31.41632841 152.5340587 86.52943159 47.66456117 90.33471798 151.2690586 18.2123767 26.69676729 50.44773796 27.22184302 45.31981428 53.13784105 51.35783914 116.9986274 67.84784789 83.75363254 47.28274243 44.41773207 58.91838202 30.61102575 9.365566028 69.67744343 43.20658143 50.22880936 108.6809547 100.2554126 83.61619993 24.25854688 159.9633027 11.85180279 181.4828236 2394.843617
57375.33242 89 94 95 139 43 92 92 68 66 76 19 34 42 24 24 28 48 73 36 49 54 34 29 15 4 49 28 97 59 40 43 13 88 8 436 2016 57.42946181 79.66071004 84.61881217 49.92358822 92.92602232 187.3713434 86.15943133 85.14039139 136.6449928 10.0649405 32.82958518 81.15226426 37.04903335 54.78996697 59.11063857 68.72533949 62.54476423 73.93683619 59.63266916 47.04598929 44.19532456 58.62336627 30.45775071 9.318671166 114.1512278 89.901949 87.39692587 161.4194674 74.28791996 45.73935536 20.70485589 88.64154734 8.769648545 376.6487466 2377.679891
58770.18633 95 114 95 91 46 93 93 55 61 81 20 34 45 24 24 27 44 75 37 84 84 40 36 15 4 54 26 70 75 37 45 12 67 7 148 1998 95.21959831 81.26826582 279.8887165 54.50258546 216.4535194 93.81838697 39.6428749 58.07855995 185.9206899 18.2123767 18.42178199 59.78249547 71.16207064 43.91755122 46.10225447 85.96282394 51.74303746 41.49901739 81.80988932 145.2907441 42.17815397 39.27394899 18.00062216 5.571275856 80.42450342 141.3011082 40.02161329 57.65461712 56.17034321 53.18646217 17.67164525 90.62274259 6.17611818 514.6247371 2549.820276
60105.30575 90 106 87 99 42 113 96 60 59 67 17 33 43 24 24 27 53 75 36 44 61 32 40 14 3 64 29 170 81 38 45 15 96 7 273 1896 62.33513702 58.13492092 117.352464 65.17674364 180.8645296 81.6670378 76.11649395 55.38718826 198.7487516 15.75951709 22.78072725 50.39082631 67.57292482 45.31981365 61.33226515 81.36060715 123.8014357 81.48339114 92.73706048 67.93913185 49.09597063 65.12388107 34.50538013 10.74924327 79.97165057 49.73587047 48.35003258 104.6158119 96.50542228 105.50013 21.18716128 144.9546094 8.83015038 532.7007907 2551.2214
61652.17889 97 67 83 108 45 83 104 60 56 76 19 35 43 23 24 26 51 80 36 61 63 35 28 14 3 46 29 134 63 41 44 14 98 11 377 1943 135.2470762 53.01222566 274.5211957 54.21232979 75.90867849 53.42817656 68.2843378 62.77587342 144.9721234 18.21237733 51.30764139 50.67431778 28.33061039 48.90631037 43.70146911 91.77187197 109.0348033 73.93683619 155.4980439 128.5190613 42.1666825 30.44540228 21.35071903 8.329161094 89.02701535 224.180244 47.75126169 78.72061757 87.55913142 67.20107195 17.20559529 40.96906339 12.42416629 497.5206154 2577.89399
63765.18006 99 70 80 122 45 147 111 61 61 123 22 35 42 26 27 28 48 78 38 71 64 33 27 15 3 62 32 137 82 42 45 12 80 7 412 1957 40.99299393 52.00049684 112.088788 38.45440254 242.8511621 95.69991091 73.21073622 59.5820081 181.8593536 16.61457745 73.84605012 201.9899487 108.3021956 111.7612463 79.77512805 58.07116334 54.43877382 92.69700274 91.11698277 75.80882865 69.48013825 92.1626803 47.88309059 14.65002301 108.9924705 67.7844631 65.8957192 110.773553 62.50984753 81.49977797 27.42712882 87.05506555 9.35559764 278.3600547 2773.940949
65037.62329 81 60 69 99 38 109 95 60 68 72 19 40 45 25 27 29 57 77 34 84 77 32 27 14 3 54 34 169 64 48 48 16 68 13 259 1981 93.78684985 81.33736686 118.953441 43.64553939 136.9380912 109.5217681 45.42610331 49.93085722 210.3385103 5.286747753 23.49776533 60.32856535 24.75979705 27.20558066 46.10225447 66.14193027 110.6523853 56.50246209 133.4169746 64.32038199 60.42300761 80.14875243 37.34504927 11.54539289 85.8948092 53.41959307 51.93111291 112.364258 103.6531663 82.85904061 56.80715705 197.3269761 25.1251573 346.3685315 2567.702253
65587.52633 96 67 78 99 40 98 92 61 69 85 18 34 44 28 27 29 83 81 36 74 72 35 30 15 4 51 31 77 66 43 48 16 96 8 383 2001 104.5102113 84.2791213 112.0770305 73.78690238 98.7422155 89.73472374 71.26235235 78.10782103 115.6266228 20.86344925 90.62163932 54.01603044 45.77014816 50.50986924 58.85810838 108.8871803 74.57410202 93.31663325 66.97714815 61.79782161 38.23433043 33.66107396 13.78922188 4.218867305 81.08176889 122.3785978 44.89919257 75.60144067 55.52478558 73.8523114 23.39229039 133.2395565 10.99357847 259.7175764 2397.417148
67515.20743 93 53 66 84 39 80 97 59 55 83 21 37 45 25 26 28 55 75 39 88 55 34 31 15 4 48 57 77 78 41 47 12 93 7 196 1813 57.40538102 78.78328257 134.4739582 51.05352891 134.4627558 181.6226815 66.9653831 114.3401431 144.972124 18.2123767 26.69676729 53.8320462 68.83753461 51.90165408 86.20152713 90.33794166 82.16651143 40.89839389 188.3148827 60.90060007 57.21044079 75.88740773 39.42727873 12.06293309 89.74517745 55.81420956 54.25900589 107.4155126 78.3258117 86.86323774 44.15009874 81.7011599 12.92978113 385.194125 2599.734269
68292.66946 86 58 66 90 41 67 116 63 61 86 22 46 45 26 25 28 81 70 44 62 55 31 28 15 4 48 65 82 63 38 41 15 80 8 177 1836 81.55304224 45.56720783 94.27031195 38.45440191 46.16399158 194.2370499 69.80853367 68.89169847 107.7964758 16.09697628 25.64531893 45.10498317 26.38418977 43.04480022 26.98573109 59.0096798 61.27151689 65.25831192 272.1169823 84.87385944 21.88916788 23.8049736 16.60609266 7.467240351 56.50295117 161.4855504 50.03111316 54.52386879 72.77601217 48.80559866 14.40505602 57.41869505 8.047824609 642.8052799 2132.811174
69138.55404 93 54 73 92 39 87 116 64 62 83 21 38 46 29 25 32 51 74 32 45 55 34 27 15 4 56 29 78 68 40 42 12 65 9 154 1828 57.42946181 63.31850463 155.2744589 41.61014634 131.7759461 54.26951742 62.21158169 65.44995429 182.3965527 8.196804137 31.52007207 52.86474733 53.47006051 50.23187839 46.33543943 91.12732206 95.85489335 62.38826048 81.46950253 64.79095817 25.75814018 30.03980513 15.53296053 7.488579629 63.37008979 72.57417887 38.6065982 69.02350662 69.17868394 70.07709111 28.4591716 116.6385307 46.00243731 439.6853194 2240.829322
72607.69255 82 54 67 88 38 76 72 57 62 93 24 38 47 23 33 28 48 66 31 78 69 31 28 15 4 50 29 80 69 39 44 12 69 8 173 1755 38.000244 58.35621699 113.4308969 27.39269554 72.7638121 81.59242796 44.35979384 42.67710519 137.3186464 8.079368644 35.41322323 60.55340508 32.94042998 21.79656629 33.53131958 47.18989001 54.00245176 37.70747941 296.1439278 60.99229453 17.39061114 24.29428962 13.78922125 4.218867305 81.08176889 121.5483739 21.21366172 55.11719626 58.62455566 52.79510566 10.65163203 45.0510035 6.897045043 288.7007563 1923.267757
73061.62329 76 53 64 93 44 76 76 53 60 104 25 37 45 23 24 28 45 67 34 82 58 32 27 16 4 48 28 75 62 42 48 15 82 9 266 1720 59.98885813 86.81391443 108.3193978 31.41632779 46.13319689 115.6556327 61.9372552 49.15062734 148.4515428 3.359412728 14.93142738 45.42859022 28.72344484 34.94030095 39.94916347 66.6361717 80.72858797 48.10988351 81.80988932 47.8282962 44.27034678 58.72287978 30.50945343 9.334489703 69.44624183 43.18992114 41.98647891 90.84688076 83.80393402 91.61480935 25.68013568 89.20325912 11.35803158 396.7007721 1997.634572
76197.47874 78 49 60 63 35 62 86 62 68 74 19 39 47 23 39 31 45 62 32 42 49 30 36 17 4 47 26 169 66 38 42 10 84 7 223 1623 58.39704922 44.46927386 64.85574231 48.65940276 62.17052818 138.0236038 215.4505664 78.86982153 106.2426934 18.2123767 32.56200717 72.76166466 39.91007698 23.86614243 37.86828497 43.93725791 49.60766695 20.98028753 56.72347276 46.63329979 31.49735983 28.09420929 14.59633692 7.353219646 61.27855517 114.4643032 407.0971947 31.23781777 60.57951953 34.32919735 12.03901072 78.3597823 10.69067137 273.1319367 2211.050379
79842.59459 70 41 50 71 39 55 75 52 50 58 19 35 43 24 23 26 49 63 33 37 48 28 28 15 4 52 24 68 51 35 38 10 67 6 124 1518 57.06087851 61.85615212 120.8607035 22.4478188 57.61232455 94.30170637 56.09432585 41.95996842 77.4318855 6.039175275 26.84204599 51.774237 37.04903335 26.37925618 33.0198087 64.53467184 77.46341194 51.24788953 53.16594264 70.47216604 20.41952375 26.65110142 13.78922188 4.218867305 68.51055238 23.46074581 24.5108187 51.50100435 36.65695265 40.3741247 11.99178519 43.89361942 6.348204101 168.581315 1570.633175
83838.34601 66 46 53 61 42 53 52 41 44 59 17 32 40 22 24 25 40 55 27 28 34 29 32 14 3 42 25 67 51 35 36 10 70 6 113 1374 49.31394495 67.79470118 118.7324366 35.03623372 65.77422204 83.41793669 48.08719517 50.32594409 126.3987505 8.196804766 31.52007207 50.28493269 40.70609899 28.2888748 45.324619 52.51712361 105.828609 46.50658679 62.22946218 37.05766399 26.06864946 31.85894634 19.24463008 7.46724098 46.12261495 22.67366499 48.17478962 51.34485641 35.94340039 39.82064752 11.93216785 57.97075024 6.598764751 160.325558 1641.719605
