,count,mean,std,min,25%,50%,75%,max
DiaSemana,1256.0,4.13296178343949,2.0089035645361517,1.0,2.0,4.0,6.0,7.0
Feriado,1256.0,0.05652866242038217,0.23103174954393635,0.0,0.0,0.0,0.0,1.0
horaiox,1256.0,816.7277070063694,340.75644335198297,269.0,510.0,812.5,1107.0,1433.0
Posx2,1256.0,130.2254800259554,391.81722241726294,37.68286365,81.58330148499999,96.87371892,123.274644075,13397.1687
Mapsx2,1256.0,80.0031847133758,20.792888518844357,47.0,65.0,78.0,89.0,220.0
MapsPessx2,1256.0,109.703025477707,27.0783462467837,50.0,91.0,113.0,128.0,194.0
y2,1256.0,122.16589847866224,124.30135844269216,37.79968559,80.7476730975,96.762992615,122.85791055,1771.0
